Studentno,Pref1,Pref2,Pref3,Pref4
1000,77,48,45,8
1001,62,93,55,40
1002,3,81,66,40
1003,31,45,69,15
1004,96,87,99,95
1005,19,1,2,47
1006,35,84,81,82
1007,14,80,87,59
1008,51,32,45,41
1009,65,11,85,96
1010,92,91,76,57
1011,15,24,90,30
1012,80,60,31,70
1013,72,51,49,19
1014,83,1,68,19
1015,87,76,19,40
1016,96,19,64,71
1017,55,96,27,17
1018,6,78,44,48
1019,96,93,64,81
1020,17,13,40,79
1021,35,2,63,87
1022,97,30,55,59
1023,69,33,75,90
1024,69,79,31,85
1025,60,26,34,9
1026,22,39,91,56
1027,28,93,35,45
1028,76,65,73,95
1029,57,85,92,73
1030,27,37,69,28
1031,34,37,39,7
1032,60,81,77,3
1033,68,87,59,20
1034,37,13,99,7
1035,46,47,54,78
1036,59,4,14,9
1037,95,56,31,28
1038,9,5,49,19
1039,60,55,9,45
1040,16,57,89,83
1041,21,66,30,55
1042,26,94,30,14
1043,17,73,22,67
1044,58,73,10,8
1045,3,38,12,75
1046,23,70,62,11
1047,27,11,19,4
1048,58,40,82,19
1049,64,86,48,35
1050,31,73,93,52
1051,18,57,47,41
1052,78,29,47,13
1053,65,36,19,40
1054,38,58,49,17
1055,28,68,89,78
1056,75,77,31,20
1057,16,77,46,2
1058,44,35,15,63
1059,63,50,43,75
1060,90,17,42,75
1061,41,21,66,33
1062,83,35,37,87
1063,48,93,70,27
1064,7,56,83,61
1065,91,2,81,60
1066,38,22,78,1
1067,49,81,30,15
1068,95,12,33,56
1069,96,61,56,91
1070,85,63,32,24
1071,91,69,96,21
1072,71,14,22,94
1073,45,51,26,23
1074,19,29,57,89
1075,4,14,59,56
1076,12,60,28,40
1077,83,88,71,94
1078,59,53,54,5
1079,37,90,51,89
1080,47,18,88,59
1081,94,16,43,73
1082,75,36,16,88
1083,42,32,20,90
1084,10,13,95,31
1085,52,43,86,5
1086,48,69,5,77
1087,94,33,93,14
1088,22,1,99,43
1089,68,29,19,89
1090,84,41,74,17
1091,9,1,65,59
1092,51,42,76,96
1093,97,40,85,79
1094,60,5,54,53
1095,99,98,26,91
1096,72,59,37,57
1097,62,79,63,3
1098,34,3,45,70
1099,34,2,98,42
1100,16,74,11,48
1101,18,24,71,7
1102,49,86,45,48
1103,14,12,91,74
1104,78,99,9,96
1105,73,20,55,95
1106,39,40,61,30
1107,78,90,47,51
1108,41,46,71,92
1109,41,47,68,21
1110,66,46,68,75
1111,73,67,59,95
1112,14,2,42,19
1113,14,36,59,31
1114,25,67,15,36
1115,72,85,66,49
1116,48,79,28,27
1117,26,1,86,65
1118,63,40,57,79
1119,5,67,22,96
1120,31,63,34,68
1121,52,58,90,70
1122,44,78,6,15
1123,56,91,52,87
1124,96,49,26,31
1125,7,71,57,83
1126,56,44,49,35
1127,22,79,68,74
1128,70,24,22,43
1129,59,93,90,7
1130,77,5,41,23
1131,6,44,19,70
1132,54,28,88,86
1133,94,29,51,67
1134,53,14,49,32
1135,23,25,1,9
1136,49,27,47,3
1137,63,57,5,46
1138,52,95,86,77
1139,97,28,93,15
1140,34,71,36,25
1141,57,84,14,20
1142,34,90,12,58
1143,50,74,26,57
1144,16,78,32,7
1145,69,55,65,23
1146,46,30,52,77
1147,74,89,53,77
1148,48,78,24,21
1149,16,22,18,3
1150,34,79,52,16
1151,85,45,17,36
1152,6,85,12,87
1153,69,98,45,74
1154,31,37,62,45
1155,53,42,73,17
1156,4,81,94,67
1157,95,70,49,96
1158,82,99,47,95
1159,63,62,26,67
1160,79,68,28,46
1161,84,39,11,40
1162,76,39,80,31
1163,65,28,76,45
1164,25,8,26,50
1165,74,68,2,1
1166,76,24,69,22
1167,26,7,25,77
1168,72,98,83,25
1169,53,16,75,14
1170,13,62,49,43
1171,45,85,22,29
1172,8,53,73,30
1173,68,53,70,79
1174,60,23,93,54
1175,77,53,98,84
1176,70,47,99,95
1177,50,15,82,27
1178,16,57,54,43
1179,52,22,9,46
1180,2,47,39,79
1181,94,3,65,88
1182,27,98,63,85
1183,23,88,48,34
1184,26,48,42,49
1185,33,48,23,49
1186,55,18,42,20
1187,66,51,65,55
1188,87,49,86,65
1189,31,81,91,90
1190,3,83,53,85
1191,85,88,29,44
1192,67,7,29,28
1193,33,62,57,56
1194,10,64,45,18
1195,71,44,30,69
1196,36,69,82,55
1197,87,46,76,92
1198,59,26,97,66
1199,12,56,22,60
1200,79,82,57,33
1201,77,68,92,47
1202,35,77,48,42
1203,98,26,17,54
1204,88,70,84,74
1205,54,21,64,33
1206,67,83,88,43
1207,48,20,69,32
1208,85,14,7,43
1209,80,73,11,81
1210,84,91,29,72
1211,24,70,68,18
1212,68,34,82,63
1213,59,38,19,25
1214,81,26,76,1
1215,21,75,15,72
1216,22,70,20,43
1217,42,19,27,35
1218,65,94,47,22
1219,77,53,88,46
1220,7,74,31,32
1221,59,26,15,41
1222,55,65,96,60
1223,24,10,61,60
1224,66,84,17,42
1225,67,68,24,66
1226,36,38,71,64
1227,70,35,38,31
1228,71,30,51,21
1229,55,64,62,43
1230,65,83,37,11
1231,78,5,96,23
1232,66,97,35,6
1233,77,11,21,53
1234,75,40,78,9
1235,25,67,89,78
1236,38,95,49,11
1237,22,49,91,78
1238,95,94,47,73
1239,98,83,78,79
1240,1,40,62,50
1241,3,28,16,19
1242,2,50,55,30
1243,59,45,88,92
1244,38,84,86,64
1245,99,69,26,36
1246,93,77,36,12
1247,10,1,38,8
1248,8,14,58,50
1249,76,84,66,27
1250,87,78,17,7
1251,31,15,44,53
1252,70,48,97,21
1253,86,85,5,20
1254,99,26,74,21
1255,50,47,72,22
1256,33,43,83,95
1257,57,82,67,77
1258,89,14,53,95
1259,64,90,45,55
1260,86,96,72,5
1261,48,88,54,60
1262,36,33,86,24
1263,45,60,64,10
1264,68,32,15,49
1265,11,49,17,5
1266,64,17,50,34
1267,39,40,51,58
1268,90,62,49,44
1269,52,48,25,27
1270,48,12,53,27
1271,13,36,90,5
1272,89,63,97,13
1273,48,39,82,84
1274,59,68,66,85
1275,89,6,40,3
1276,92,64,86,94
1277,68,67,2,63
1278,18,15,62,42
1279,74,62,60,75
1280,51,49,48,18
1281,21,33,3,48
1282,41,90,25,28
1283,92,39,28,65
1284,78,67,86,91
1285,64,83,89,19
1286,18,96,3,94
1287,26,13,53,27
1288,43,29,93,70
1289,49,37,82,33
1290,37,30,55,70
1291,66,30,76,28
1292,83,60,30,58
1293,7,17,35,1
1294,21,28,19,47
1295,63,56,33,77
1296,26,47,35,15
1297,85,91,39,67
1298,93,84,3,66
1299,91,43,96,58
1300,79,33,98,48
1301,76,41,67,60
1302,2,71,81,51
1303,77,2,10,80
1304,53,69,1,64
1305,43,31,98,2
1306,23,91,57,41
1307,35,94,96,80
1308,82,11,69,76
1309,31,54,97,22
1310,59,90,94,79
1311,99,81,55,38
1312,23,81,41,28
1313,81,56,40,97
1314,75,54,82,7
1315,55,76,14,23
1316,66,53,20,90
1317,3,20,42,73
1318,15,55,38,66
1319,32,64,68,41
1320,14,85,73,18
1321,62,19,88,3
1322,86,58,29,53
1323,88,29,90,89
1324,86,46,89,7
1325,89,85,14,72
1326,22,58,36,23
1327,10,25,73,93
1328,63,15,57,33
1329,4,19,81,99
1330,2,75,92,1
1331,5,34,9,66
1332,10,44,23,40
1333,16,57,9,37
1334,2,11,35,73
1335,94,99,97,77
1336,16,69,55,97
1337,97,69,46,50
1338,49,26,93,33
1339,77,61,59,6
1340,11,22,82,16
1341,8,49,69,15
1342,84,9,49,70
1343,29,56,82,27
1344,60,44,90,48
1345,13,29,14,35
1346,14,77,70,43
1347,86,81,9,47
1348,58,29,68,85
1349,97,28,68,56
1350,83,35,51,94
1351,45,86,65,16
1352,9,20,70,60
1353,75,48,32,34
1354,64,6,47,67
1355,46,64,59,42
1356,4,40,34,98
1357,76,16,96,4
1358,57,37,2,23
1359,63,64,23,60
1360,14,60,37,96
1361,21,68,33,22
1362,77,35,38,9
1363,42,86,68,84
1364,76,59,45,69
1365,23,47,86,24
1366,39,26,46,21
1367,46,82,38,71
1368,90,23,62,20
1369,93,6,5,66
1370,53,89,15,65
1371,95,31,61,73
1372,99,6,15,91
1373,39,98,72,86
1374,66,6,60,77
1375,39,61,14,86
1376,1,31,59,58
1377,83,52,24,37
1378,68,90,56,63
1379,1,96,38,43
1380,41,75,87,66
1381,69,74,1,87
1382,28,18,22,27
1383,38,7,35,86
1384,25,73,66,7
1385,17,27,32,10
1386,52,84,56,43
1387,21,61,83,65
1388,33,32,80,22
1389,69,50,95,25
1390,3,55,46,89
1391,73,47,35,10
1392,25,97,85,61
1393,20,98,32,77
1394,79,1,76,89
1395,58,36,60,91
1396,39,43,94,49
1397,77,29,23,71
1398,15,59,18,98
1399,47,32,65,6
