Studentno,Pref1,Pref2,Pref3,Pref4
1000,60,75,37,25
1001,4,35,95,90
1002,52,65,88,32
1003,23,79,68,83
1004,88,58,91,19
1005,5,77,67,71
1006,45,83,55,62
1007,66,21,27,55
1008,89,99,53,64
1009,36,41,99,95
1010,85,51,86,22
1011,76,20,61,77
1012,41,21,74,59
1013,97,87,27,5
1014,38,80,59,25
1015,75,5,58,54
1016,69,44,96,50
1017,65,88,15,6
1018,8,49,51,6
1019,60,80,62,52
1020,60,43,48,69
1021,68,14,88,28
1022,84,86,83,96
1023,12,19,93,69
1024,43,87,22,68
1025,29,11,98,86
1026,87,9,8,99
1027,69,33,31,5
1028,56,83,31,81
1029,52,39,55,75
1030,77,78,91,7
1031,27,81,14,11
1032,20,51,21,78
1033,48,3,50,70
1034,98,63,48,97
1035,28,93,44,37
1036,73,21,52,16
1037,84,24,7,29
1038,46,44,43,83
1039,78,27,28,58
1040,50,88,60,74
1041,85,13,99,62
1042,38,56,57,77
1043,12,86,59,55
1044,4,68,41,32
1045,60,91,66,86
1046,4,24,36,84
1047,66,92,98,76
1048,65,98,33,97
1049,12,46,38,86
1050,61,62,57,44
1051,94,2,11,36
1052,45,33,19,18
1053,33,75,24,39
1054,23,96,54,85
1055,55,99,28,82
1056,43,56,9,79
1057,25,58,70,86
1058,50,68,54,2
1059,89,91,61,88
1060,81,13,77,44
1061,58,80,87,25
1062,9,96,2,36
1063,3,45,77,57
1064,56,66,27,41
1065,13,8,69,1
1066,44,5,22,48
1067,85,75,87,25
1068,41,83,21,67
1069,54,55,1,34
1070,6,44,2,42
1071,83,17,26,61
1072,71,70,40,5
1073,18,57,90,26
1074,8,10,53,30
1075,98,27,99,22
1076,18,43,27,66
1077,68,24,23,84
1078,69,64,15,66
1079,80,90,77,63
1080,34,18,9,46
1081,49,34,75,96
1082,75,80,52,69
1083,10,9,33,53
1084,62,67,10,12
1085,95,79,93,33
1086,41,88,37,46
1087,52,49,44,25
1088,33,52,55,92
1089,71,70,75,93
1090,57,91,99,80
1091,90,92,78,21
1092,92,17,28,3
1093,75,55,6,99
1094,70,95,36,90
1095,16,37,99,70
1096,55,71,93,31
1097,2,24,4,81
1098,98,86,66,17
1099,58,11,75,16
1100,47,48,51,75
1101,3,32,54,67
1102,71,13,30,1
1103,38,93,12,42
1104,20,88,1,72
1105,46,37,13,30
1106,52,76,46,65
1107,5,75,57,41
1108,90,31,6,44
1109,48,8,56,74
1110,70,90,14,96
1111,76,36,7,31
1112,31,78,15,37
1113,45,82,16,86
1114,15,91,50,53
1115,98,4,96,24
1116,95,37,20,97
1117,3,72,15,49
1118,26,45,86,99
1119,7,85,61,69
1120,26,23,32,1
1121,46,86,1,2
1122,59,58,29,37
1123,29,6,18,37
1124,80,45,71,27
1125,66,99,25,3
1126,77,56,60,80
1127,73,23,50,86
1128,42,27,71,70
1129,77,53,34,41
1130,9,6,87,33
1131,86,7,85,64
1132,34,74,10,79
1133,71,30,11,75
1134,56,25,12,43
1135,26,69,39,2
1136,96,82,42,9
1137,56,74,99,58
1138,88,51,85,73
1139,29,85,14,66
1140,77,26,15,91
1141,57,59,74,47
1142,42,76,24,61
1143,3,46,84,60
1144,17,70,63,93
1145,84,77,27,3
1146,40,57,62,75
1147,43,24,44,85
1148,18,64,56,57
1149,79,35,77,45
1150,68,39,77,90
1151,54,2,89,46
1152,27,32,88,59
1153,89,47,34,25
1154,43,97,71,28
1155,84,41,70,9
1156,54,22,47,48
1157,27,44,79,94
1158,71,15,73,42
1159,18,7,62,50
1160,79,66,18,46
1161,99,16,87,86
1162,83,7,92,63
1163,70,32,76,94
1164,41,26,46,8
1165,58,1,14,87
1166,65,79,31,90
1167,25,35,24,72
1168,59,74,68,47
1169,8,50,88,82
1170,67,22,64,76
1171,84,83,92,44
1172,9,40,80,36
1173,77,32,95,96
1174,56,22,72,99
1175,2,51,46,39
1176,84,55,19,27
1177,48,67,58,72
1178,93,36,28,97
1179,99,35,60,86
1180,47,36,93,59
1181,39,10,16,68
1182,10,83,11,45
1183,12,81,76,30
1184,84,3,33,2
1185,48,24,36,94
1186,22,39,90,85
1187,89,49,25,30
1188,38,37,23,52
1189,86,60,23,15
1190,93,2,18,3
1191,31,28,3,7
1192,20,46,50,91
1193,64,89,38,48
1194,31,39,66,98
1195,19,82,34,29
1196,9,37,54,16
1197,92,83,29,87
1198,21,48,52,89
1199,61,7,27,32
