Studentno,Pref1,Pref2,Pref3,Pref4
1000,81,40,71,33
1001,91,5,49,92
1002,51,41,46,73
1003,26,29,33,43
1004,7,51,17,13
1005,85,25,18,27
1006,13,26,55,28
1007,82,29,35,94
1008,45,30,7,46
1009,34,11,9,65
1010,53,95,90,80
1011,25,20,94,44
1012,76,4,41,49
1013,37,12,19,82
1014,5,11,38,78
1015,45,52,4,28
1016,37,71,14,70
1017,17,42,18,19
1018,43,54,11,57
1019,34,93,4,30
1020,10,94,1,70
1021,33,90,80,24
1022,99,69,59,26
1023,16,21,86,31
1024,33,49,80,42
1025,78,47,74,79
1026,9,30,67,73
1027,1,48,65,19
1028,23,78,26,49
1029,52,41,19,26
1030,53,57,46,66
1031,45,37,57,98
1032,78,40,86,65
1033,12,29,2,7
1034,61,1,63,71
1035,9,85,25,83
1036,6,37,88,67
1037,37,25,72,12
1038,54,64,44,8
1039,20,75,40,50
1040,62,49,26,64
1041,61,33,13,34
1042,6,81,2,89
1043,74,71,79,68
1044,23,25,59,49
1045,92,29,64,26
1046,47,54,44,7
1047,34,25,61,74
1048,71,90,93,74
1049,6,16,58,53
1050,39,70,59,94
1051,4,54,7,19
1052,87,62,82,84
1053,41,66,30,32
1054,7,59,96,86
1055,46,7,59,56
1056,14,27,46,89
1057,5,51,48,93
1058,31,48,30,35
1059,75,11,30,8
1060,63,36,69,43
1061,91,7,94,50
1062,49,42,25,75
1063,46,30,41,79
1064,63,25,19,36
1065,48,76,52,35
1066,99,81,60,88
1067,32,9,24,61
1068,72,79,13,44
1069,88,85,59,77
1070,44,48,85,73
1071,60,65,67,18
1072,89,5,72,93
1073,45,10,34,20
1074,78,88,1,58
1075,82,34,31,20
1076,86,12,92,88
1077,16,93,51,31
1078,56,48,18,2
1079,67,40,27,3
1080,6,79,86,67
1081,91,60,27,97
1082,93,21,58,75
1083,73,95,54,56
1084,3,55,81,53
1085,11,37,41,60
1086,47,56,92,62
1087,21,35,62,17
1088,25,92,9,33
1089,81,3,74,36
1090,37,16,29,87
1091,66,47,12,31
1092,86,78,30,4
1093,99,20,41,78
1094,45,48,90,49
1095,71,9,88,33
1096,78,94,61,13
1097,64,76,22,8
1098,54,60,84,86
1099,48,31,38,90
1100,38,99,95,94
1101,3,81,26,85
1102,30,80,13,17
1103,90,4,11,19
1104,6,35,78,37
1105,13,38,54,4
1106,22,98,30,7
1107,12,11,22,39
1108,56,58,73,33
1109,73,86,60,25
1110,10,8,53,28
1111,40,42,75,41
1112,3,75,43,22
1113,46,12,42,1
1114,39,29,11,83
1115,77,37,66,48
1116,33,68,60,59
1117,14,45,24,62
1118,4,78,67,6
1119,10,53,8,13
1120,15,17,55,84
1121,3,49,67,4
1122,50,67,68,21
1123,92,63,91,87
1124,67,60,24,14
1125,77,94,84,67
1126,46,22,13,31
1127,59,89,52,2
1128,95,89,81,21
1129,68,52,96,17
1130,3,35,78,30
1131,52,50,97,83
1132,41,40,20,52
1133,55,4,73,58
1134,83,81,86,85
1135,9,61,11,71
1136,31,86,95,26
1137,48,27,84,74
1138,36,3,66,95
1139,72,75,54,74
1140,48,35,44,91
1141,40,56,12,97
1142,33,18,6,76
1143,43,82,88,4
1144,62,75,47,86
1145,14,83,76,73
1146,77,60,20,18
1147,67,41,66,65
1148,24,78,90,4
1149,39,46,56,38
1150,45,93,85,26
1151,18,4,23,10
1152,76,99,61,58
1153,55,11,86,58
1154,16,38,50,58
1155,10,13,97,71
1156,65,31,76,21
1157,23,82,85,49
1158,6,46,37,50
1159,59,51,66,73
1160,20,27,36,34
1161,40,39,27,77
1162,55,85,62,92
1163,23,22,87,54
1164,8,98,97,67
1165,27,65,89,96
1166,90,16,30,92
1167,69,16,62,75
1168,51,65,4,84
1169,17,30,41,49
1170,34,17,47,13
1171,21,58,59,64
1172,52,65,40,31
1173,48,29,16,34
1174,69,50,59,92
1175,1,82,67,62
1176,61,4,93,58
1177,63,54,47,46
1178,85,98,61,87
1179,30,52,97,61
1180,39,23,30,32
1181,44,86,77,32
1182,44,61,13,11
1183,72,61,28,36
1184,38,53,71,47
1185,26,96,84,29
1186,80,70,40,28
1187,43,40,69,36
1188,90,15,35,11
1189,48,54,22,57
1190,78,83,50,1
1191,87,94,72,81
1192,41,94,83,68
1193,85,50,62,32
1194,52,48,78,83
1195,33,92,80,7
1196,85,21,26,38
1197,24,25,20,69
1198,32,66,91,80
1199,19,23,37,65
1200,15,78,71,53
1201,25,61,14,93
1202,79,13,25,17
1203,19,60,4,3
1204,96,58,12,42
1205,77,80,1,85
1206,13,86,96,15
1207,67,16,72,91
1208,43,66,89,45
1209,78,52,96,81
1210,81,78,53,36
1211,45,22,50,4
1212,55,7,92,21
1213,77,91,99,58
1214,34,12,17,39
1215,11,39,64,79
1216,89,78,23,81
1217,18,13,47,73
1218,4,22,51,90
1219,54,92,75,80
1220,66,76,91,37
1221,72,37,17,20
1222,57,56,8,93
1223,64,41,15,23
1224,28,85,43,50
1225,5,69,50,20
1226,92,36,19,83
1227,90,58,10,74
1228,45,20,95,25
1229,39,92,93,2
1230,26,40,55,79
1231,72,43,53,52
1232,95,82,18,85
1233,52,10,97,21
1234,50,26,66,41
1235,28,62,61,52
1236,80,2,33,74
1237,66,15,5,8
1238,9,68,94,52
1239,60,23,93,8
1240,29,64,19,70
1241,22,24,40,64
1242,66,67,55,71
1243,78,61,82,38
1244,45,6,99,86
1245,25,7,40,43
1246,8,29,34,50
1247,91,15,16,63
1248,96,88,9,38
1249,90,25,89,52
1250,45,66,28,63
1251,13,10,60,3
1252,54,3,74,19
1253,53,88,58,63
1254,27,68,39,48
1255,71,37,48,45
1256,28,19,55,72
1257,27,3,94,45
1258,20,54,55,4
1259,81,95,84,2
1260,59,61,34,78
1261,97,73,14,72
1262,10,64,7,4
1263,84,5,80,95
1264,62,98,80,3
1265,18,72,7,53
1266,83,41,78,62
1267,26,42,18,84
1268,54,75,11,4
1269,48,53,29,25
1270,15,84,70,98
1271,20,30,28,54
1272,29,28,87,54
1273,1,71,42,66
1274,85,94,25,32
1275,41,92,10,71
1276,94,97,23,24
1277,9,1,50,74
1278,70,50,60,5
1279,22,95,78,8
1280,14,82,85,55
1281,84,47,26,71
1282,5,82,33,86
1283,20,52,32,31
1284,93,42,92,98
1285,44,19,1,73
1286,26,13,90,63
1287,24,27,83,55
1288,12,8,57,38
1289,7,15,1,48
1290,3,96,42,88
1291,77,62,2,30
1292,50,75,3,81
1293,90,57,2,76
1294,4,36,48,72
1295,82,25,70,69
1296,74,9,26,75
1297,18,43,49,42
1298,51,26,83,50
1299,36,69,51,89
1300,62,48,64,69
1301,93,59,17,7
1302,62,41,79,85
1303,60,13,68,85
1304,60,12,80,88
1305,29,50,46,93
1306,44,18,85,86
1307,63,12,9,15
1308,72,13,57,66
1309,58,29,93,26
1310,20,18,38,51
1311,53,36,98,41
1312,88,57,24,2
1313,67,82,99,81
1314,44,41,26,10
1315,89,11,84,67
1316,8,55,64,81
1317,49,78,40,86
1318,80,34,52,11
1319,53,76,75,28
1320,86,23,51,49
1321,13,79,41,26
1322,15,94,72,56
1323,28,67,27,34
1324,53,51,31,29
1325,92,90,48,9
1326,45,82,95,46
1327,13,62,75,81
1328,24,39,34,19
1329,67,9,3,91
1330,81,24,19,75
1331,35,19,59,5
1332,93,71,7,48
1333,51,33,4,48
1334,53,96,99,80
1335,44,45,97,30
1336,77,20,76,29
1337,65,85,60,33
1338,96,52,56,78
1339,94,96,41,89
1340,2,29,24,51
1341,58,70,76,53
1342,52,35,18,85
1343,50,83,30,6
1344,28,41,83,73
1345,12,32,66,50
1346,50,93,71,67
1347,81,83,40,42
1348,19,13,69,25
1349,93,57,18,92
1350,39,33,91,64
1351,3,32,79,74
1352,24,26,51,62
1353,19,4,10,90
1354,67,79,50,17
1355,53,45,55,64
1356,24,78,35,49
1357,28,96,30,61
1358,3,31,61,64
1359,78,47,49,93
1360,41,55,94,10
1361,19,14,77,53
1362,52,49,72,90
1363,96,27,22,24
1364,17,88,12,70
1365,68,95,31,79
1366,87,21,47,66
1367,39,5,75,4
1368,57,41,32,24
1369,7,75,69,33
1370,68,32,43,35
1371,38,91,13,66
1372,15,52,27,97
1373,25,64,26,29
1374,27,67,1,80
1375,98,59,75,19
1376,12,53,7,4
1377,13,99,45,60
1378,30,89,18,85
1379,88,14,3,37
1380,41,48,13,67
1381,17,61,89,64
1382,80,17,73,82
1383,35,4,71,49
1384,97,51,87,81
1385,86,22,91,36
1386,72,29,44,82
1387,59,94,42,58
1388,10,75,14,3
1389,67,77,70,41
1390,43,1,79,53
1391,26,51,94,49
1392,10,17,97,78
1393,35,23,17,21
1394,80,28,38,71
1395,86,40,61,30
1396,97,98,35,76
1397,72,48,44,1
1398,87,85,75,65
1399,1,63,85,33
1400,52,38,19,39
1401,54,5,86,30
1402,7,47,2,73
1403,58,48,6,13
1404,30,35,71,22
1405,43,93,26,37
1406,8,84,71,12
1407,13,62,9,15
1408,44,92,42,71
1409,61,49,17,99
1410,81,23,97,66
1411,37,44,59,85
1412,51,98,42,69
1413,71,24,8,56
1414,40,60,91,67
1415,5,15,47,77
1416,16,25,1,31
1417,4,49,59,79
1418,44,83,13,92
1419,45,53,55,96
1420,58,87,82,67
1421,96,57,19,36
1422,30,69,10,14
1423,25,98,12,46
1424,93,70,12,99
1425,96,71,79,90
1426,57,63,85,77
1427,24,58,20,87
1428,98,80,82,19
1429,71,98,5,90
1430,93,27,32,85
1431,24,44,6,38
1432,38,75,39,62
1433,43,49,62,45
1434,54,18,34,69
1435,30,32,78,64
1436,3,38,9,2
1437,74,60,33,64
1438,45,21,23,61
1439,49,72,96,37
1440,38,45,10,25
1441,3,58,73,47
1442,6,93,5,16
1443,75,10,70,63
1444,86,20,74,99
1445,12,25,22,44
1446,43,90,16,50
1447,69,93,30,2
1448,68,37,79,53
1449,79,6,49,59
1450,70,73,93,29
1451,78,9,12,29
1452,90,43,74,15
1453,3,46,38,54
1454,16,21,82,45
1455,85,2,62,20
1456,53,33,55,31
1457,5,1,28,44
1458,82,65,75,35
1459,2,53,36,84
1460,77,50,6,14
1461,76,48,17,67
1462,28,60,48,94
1463,41,11,82,85
1464,2,44,24,16
1465,26,39,70,71
1466,97,88,51,91
1467,55,58,88,76
1468,19,57,20,61
1469,80,48,65,84
1470,18,66,37,40
1471,28,17,22,57
1472,29,57,55,96
1473,63,14,62,99
1474,9,36,10,7
1475,32,21,52,39
1476,65,93,50,35
1477,21,2,1,51
1478,29,25,53,52
1479,43,42,49,91
1480,81,61,31,93
1481,59,99,35,74
1482,1,77,33,78
1483,18,48,4,95
1484,97,5,60,11
1485,92,82,21,51
1486,61,37,46,53
1487,61,86,26,42
1488,58,73,55,57
1489,28,60,30,86
1490,62,96,87,5
1491,42,30,40,64
1492,27,45,23,36
1493,51,96,94,52
1494,68,16,81,14
1495,41,3,84,94
1496,68,82,85,81
1497,57,80,54,9
1498,26,17,88,92
1499,32,49,69,50
